id,"organ","sentence",frequency
512,"бял дроб","БЯЛ ДРОБ-симетричен, ясен перкуторен тон, везикуларно дишане с нормална дълбочина",496
513,"пулс","ПУЛС-88",151
514,"кръвно налягане","RR-125/75",162
515,"кръвно налягане","RR-140/70",166
516,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-куца при ходене",1
517,"кръвно налягане","RR-140/60",7
518,"кръвно налягане","RR-120/75",229
519,"език","ЕЗИК-влажен",655
520,"температура","ТЕМПЕРАТУРА-36.2",69
521,"кръвно налягане","RR-130/70",444
522,"корем","КОРЕМ-мек, неболезнен",688
523,"гърло","ГЪРЛО И ТОНЗИЛИ-без патолог",100
524,"око","ЗРЕНИЕ-с корекция",8
525,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-не се установяват патолог",615
526,"бял дроб","БЯЛ ДРОБ-везикуларно дишане",457
527,"сърце","СЪРЦЕ-ритмична сърдечна дейност Ясни тонове.; ПУЛС-78",12
528,"кръвно налягане","RR-100/60",102
529,"сърце","СЪРЦЕ-ритмична сърдечна дейност Ясни тонове.; RR-125/80",2
530,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Запазена сетивност от дистален тип за долни крайници",2
531,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-не се палпират пат.увеличени",21
532,"температура","ТЕМПЕРАТУРА-36.1",116
533,"кръвно налягане","RR-110/80",162
534,"кръвно налягане","RR-150/110",2
535,"кръвно налягане","RR-140/105",2
536,"температура","ТЕМПЕРАТУРА-36.6",749
537,"сърце","СЪРЦЕ-ритм. нормофр",43
538,"сърце","сърд. дейност",369
539,"кръвно налягане","RR-110/70",493
540,"пулс","ПУЛС-81",56
541,"пулс","ПУЛС-75",544
542,"кръвно налягане","RR-110/75",138
543,"температура","ТЕМПЕРАТУРА-38.9",2
544,"кръвно налягане","RR-100/70",117
545,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-не се палпират патологично увеличени",9
546,"температура","ТЕМПЕРАТУРА-38.6",7
547,"кръвно налягане","RR-110/60",47
548,"пулс","ПУЛС-86",149
549,"бял дроб","БЯЛ ДРОБ-ослабено везикуларно дишане",3
550,"кръвно налягане","RR-160/80",116
551,"кожа","КОЖА-чиста",1461
552,"бял дроб","БЯЛ ДРОБ-везикуларно дишане без хрипова находка",13
553,"кръвно налягане","RR-150/80",252
554,"език","ЕЗИК-влажен,леко обложен",2
555,"бял дроб","БЯЛ ДРОБ-силно отслабено везикуларно дишане до липсващо",2
556,"пулс","ПУЛС-82",186
557,"бял дроб","БЯЛ ДРОБ-вез.дишане",84
558,"сърце","СЪРЦЕ-ритмична сърдечна дейност ясни сърдечни тонове",249
559,"кръвно налягане","RR-135/95",29
560,"корем","КОРЕМ-мек,палпаторно неболезнен",1322
561,"бял дроб","БЯЛ ДРОБ-вез.дишане с еденични хрипове  в дясната основа",1
562,"бял дроб","БЯЛ ДРОБ-вез.дишане,единични дребни влажни хрипове в основите",1
563,"кръвно налягане","RR-180/85",1
564,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-инициални отоци по подбедриците",1
565,"бял дроб","БЯЛ ДРОБ-вез.дишанебез хрипове",1
566,"гърло","ГЪРЛО-зачервено",210
567,"гърло","ГЪРЛО-спокойни",133
568,"кръвно налягане","RR-140/95",106
569,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-везикуларно дишане",14
570,"кръвно налягане","RR-125/80",875
571,"кръвно налягане","RR-125/70",102
572,"пулс","ПУЛС-89",33
573,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-слезка увличена до  билиачната линия",1
574,"пулс","ПУЛС-85",157
575,"пулс","ПУЛС-90",83
576,"пулс","ПУЛС-98",37
577,"бял дроб","БЯЛ ДРОБ-Везикуларно дихане без хрипова находка",1
578,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-краиници без отоци,огра дивжени яв колянна сатав",1
579,"пулс","ПУЛС-102",5
580,"бъбрек","SUCC.REN:++",61
581,"пулс","ПУЛС-83",43
582,"език","ЕЗИК-влажен леко обложен",10
583,"сърце","СЪРЦЕ-ритмична сърдечна дейност,глухи тонове",48
584,"глава","са на темето на главата",1
585,"гърло","ГЪРЛО-без патолог",572
586,"лигавица","Лигавици бледорозови ПЛВ не се палпират увеличени",295
587,"бял дроб","Пулмо чисто везикуларно дишане без хрипове",467
588,"крайници","Крайници с отоци,изразена варикоза и хиподермит",12
589,"крайници","Крайници с отоци,изразена варикоза и хиподермит.",4
590,"лигавица","Лигавици хиперемирани ПЛВ не се палпират увеличени",3
591,"бял дроб","; БЯЛ ДРОБ-вез.дишане",9
592,"сърце","СЪРЦЕ-предсърдно мъждене",2
593,"кръвно налягане","RR-120/70",643
594,"черен дроб","Черен дроб и слезка не се палпират увеличени.",23
595,"лигавица","Лигавици бледи ПЛВ не се палпират увеличени",14
596,"бъбрек","Сук реналис -пол.в дясно",5
